# name, smd?, value, package, component, x, y, Eagle-Angle, YX-Angle
R1X13, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 52.07, 180.00, -180.00
R1X14, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 72.39, 180.00, -180.00
R2X11, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 15.88, 180.00, -180.00
R2X12, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 36.20, 180.00, -180.00
R2X13, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 56.52, 180.00, -180.00
R2X14, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 76.84, 180.00, -180.00
R3X11, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 20.32, 180.00, -180.00
R3X12, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 40.64, 180.00, -180.00
R3X13, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 60.96, 180.00, -180.00
R3X14, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 81.28, 180.00, -180.00
R4X11, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 24.77, 180.00, -180.00
R4X12, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 45.09, 180.00, -180.00
R4X13, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 65.41, 180.00, -180.00
R4X14, SMD, 10k, 0805-RES, 10k-0805-res, 54.61, 85.73, 180.00, -180.00
R8X1, PTH, , BOARD-DINRAIL-3.17IN-H4X-IOB, -board-dinrail-3.17in-h4x-iob, 0.00, 0.00, 0.00, 0.00
U$1X11, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
U$1X12, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
U$1X13, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
U$1X14, PTH, CONNECTOR-IO4-IOBFULL, IO4-IOB, connector-io4-iobfull-io4-iob, 0.00, 0.00, 0.00, 0.00
